key,ma_type,entry_ma_value,entry_mode,stop_type,exit_type,rr_value,exit_ma_value,trades,resolved,wins,losses,unresolved,wr,gross_profit_pts,gross_loss_pts,gross_profit_dol,gross_loss_dol,commission_total,slippage_total,net_profit,pf_dol,expectancy_dol,expectancy_R,avg_win_pts,avg_loss_pts,avg_win_dol,avg_loss_dol,max_dd_dol,max_dd_pct,mls,final_balance,avg_hold,med_hold,sharpe,sortino,long_trades,long_wr,long_pf,long_net,long_ev,short_trades,short_wr,short_pf,short_net,short_ev
SMA  9_one_break_fixed_6_RR2,SMA,9,one_break,fixed_6,fixed_RR,2,,69362,69362,20416,48946,0,29.433984025835475,244992.0,293676.0,360682.59375,603667.375,92482.65625,69362.0,-242984.703125,0.597485649692432,-3.5031386512067124,-0.35031386512067125,12.0,-6.0,17.666663095121475,-12.333334184611612,242939.765625,22761.37890625,34,-241867.09375,1.4445229376315563,1.0,-67.47991979950501,-967426612.4847214,34680,29.8558246828143,0.6096933732278045,-117100.015625,-3.376586379036909,34682,29.012167695057954,0.5854237650608083,-125884.6796875,-3.6296834002508507
SMA  9_one_break_fixed_6_RR3,SMA,9,one_break,fixed_6,fixed_RR,3,,69237,69237,19034,50203,0,27.491081358233316,342612.0,301218.0,526607.1875,619170.3125,92315.9921875,69237.0,-92563.03125,0.85050458148379,-1.336901241388275,-0.1336901241388275,18.0,-6.0,27.66665900493853,-12.333332918351493,93021.0625,6703.4189453125,34,-91566.46875,1.739936739026821,1.0,-19.69776160366561,0.0,34620,27.790294627383016,0.8633240599894266,-42140.015625,-1.2172159337088388,34617,27.191842158477048,0.837789421281091,-50423.01953125,-1.4565970341522951
SMA  9_one_break_fixed_6_RR4,SMA,9,one_break,fixed_6,fixed_RR,4,,68780,68780,15263,53517,0,22.191043908112825,366312.0,321102.0,574906.3125,660043.0,91706.65625,68780.0,-85136.6328125,0.8710134226103451,-1.2378108870674616,-0.12378108870674616,24.0,-6.0,37.66666530171002,-12.333333333333334,85816.4921875,5314.81494140625,41,-84130.3046875,1.8573567897644665,1.0,-15.624700167583118,0.0,34392,22.58955571063038,0.8912199337407362,-35717.98046875,-1.0385549101171785,34388,21.79248575084332,0.8510107012657142,-49418.6484375,-1.4370899278091194
SMA  9_one_break_fixed_6_RR5,SMA,9,one_break,fixed_6,fixed_RR,5,,67706,67706,12574,55132,0,18.57147077068502,377220.0,330792.0,599360.6875,679961.3125,90274.6640625,67706.0,-80600.640625,0.8814629251425242,-1.1904504862936816,-0.11904504862936816,30.0,-6.0,47.66666832352473,-12.333332955452368,81389.7109375,4903.9833984375,51,-79583.1171875,2.2174253389655276,1.0,-13.275845559687099,0.0,33847,18.911572665228825,0.9013700213468936,-33386.3203125,-0.9863893494992171,33859,18.231489411973183,0.8617283175533933,-47214.3203125,-1.3944393015889425
SMA  9_one_break_fixed_6_RR6,SMA,9,one_break,fixed_6,fixed_RR,6,,66356,66356,10612,55744,0,15.992525167279522,382032.0,334464.0,611958.6875,687509.3125,88474.671875,66356.0,-75550.6484375,0.8901096703326473,-1.138565441519983,-0.1138565441519983,36.0,-6.0,57.666668629853,-12.333332959601034,76348.1484375,4523.89013671875,51,-74532.53125,2.548857676773766,1.0,-11.430956409869133,0.0,33187,16.33772260222376,0.9130745615956313,-29766.3203125,-0.8969271194292946,33169,15.64714040218276,0.867320426813862,-45784.3203125,-1.3803346592450783
SMA  9_one_break_fixed_6_MAexit9,SMA,9,one_break,fixed_6,ma_close,,9,68379,68379,10690,57689,0,15.633454715629066,392960.0,316578.0,629990.0,662237.625,91172.0,68379.0,-32247.6640625,0.9513050545867128,-0.47160186698401557,-0.04716018669840156,36.75959014892578,-5.487666606903076,58.93264733395697,-11.47944365476954,35815.515625,1003.6336669921875,65,-31259.603515625,3.239781219380219,1.0,-3.5185308257747328,-44.128379481684505,34205,16.035667300102325,0.9924663022324647,-2481.6669921875,-0.07255275521670808,34174,15.230877275121438,0.9105681148784802,-29765.998046875,-0.8710129937050096
SMA  9_one_break_fixed_8_RR2,SMA,9,one_break,fixed_8,fixed_RR,2,,69362,69362,24291,45071,0,35.02061647588017,388656.0,360568.0,443310.75,529584.25,69362.0,52021.5,-86273.5,0.8370920207691221,-1.2438150572359505,-0.12438150572359505,16.0,-8.0,18.25,-11.75,86572.5,6857.22802734375,24,-85273.5,1.5158011591361265,2.0,-22.88999575617486,0.0,34680,35.363321799307954,0.8497653651647,-39570.0,-1.1410034602076125,34682,34.67793091517213,0.8245523744230056,-46703.5,-1.3466207254483593
SMA  9_one_break_fixed_8_RR3,SMA,9,one_break,fixed_8,fixed_RR,3,,68659,68659,18576,50083,0,27.055447938362047,445824.0,400664.0,524772.0,588475.25,68659.0,51494.25,-63703.25,0.8917486334387045,-0.9278208246551799,-0.09278208246551799,24.0,-8.0,28.25,-11.75,64270.0,4332.322265625,35,-62703.25,2.0115789626997187,2.0,-13.681352702039234,0.0,34333,27.428421635161506,0.9086880855845855,-26732.75,-0.7786313459353974,34326,26.68239818213599,0.8749781248494102,-36970.5,-1.077040727145604
SMA  9_one_break_fixed_8_RR4,SMA,9,one_break,fixed_8,fixed_RR,4,,66921,66920,14547,52373,1,21.73789599521817,465504.0,418984.0,556422.75,615382.75,66920.0,50190.0,-58960.0,0.9041897095750572,-0.8810520023909145,-0.08810520023909145,32.0,-8.0,38.25,-11.75,59604.75,3758.7734375,40,-57960.0,2.5172594142259412,2.0,-11.051597011383787,0.0,33460,22.092050209205023,0.9230980186027379,-23555.0,-0.7039748953974896,33460,21.383741781231322,0.8854517586252917,-35405.0,-1.0581291093843395
SMA  9_one_break_fixed_8_RR5,SMA,9,one_break,fixed_8,fixed_RR,5,,64600,64599,11751,52848,1,18.190684066316816,470040.0,422784.0,566985.75,620964.0,64599.0,48449.25,-53978.25,0.9130734631959341,-0.8355895602099104,-0.08355895602099103,40.0,-8.0,48.25,-11.75,54818.75,3065.068359375,50,-52978.25,3.0127710955277944,2.0,-9.175479162655197,0.0,32277,18.409393685906373,0.926528485269583,-22734.75,-0.7043637884561762,32322,17.972278943134707,0.8997087739374743,-31243.5,-0.9666326341191758
