trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672668003,11040.0,win,43,77.66666412353516,1077.6666641235352,0.0
2,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672700293,11000.0,loss,4,-12.333333015441895,1065.3333311080933,1.1444478544274705
3,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672702037,11008.0,loss,25,-2.3333334922790527,1062.9999976158142,1.3609650364056984
4,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672713840,11000.0,loss,8,-12.333333015441895,1050.6666646003723,2.505412890833169
5,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672718411,11024.0,loss,2,-12.333333015441895,1038.3333315849304,3.6498607452606397
6,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672718877,11000.0,loss,4,-12.333333015441895,1025.9999985694885,4.79430859968811
7,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672719621,11024.0,loss,1,-12.333333015441895,1013.6666655540466,5.938756454115581
8,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672720806,11032.0,loss,1,-12.333333015441895,1001.3333325386047,7.083204308543052
9,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672723865,11000.0,loss,2,-12.333333015441895,988.9999995231628,8.227652162970521
10,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672723931,11024.0,loss,1,-12.333333015441895,976.666666507721,9.372100017397992
11,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672724259,11040.0,loss,2,-12.333333015441895,964.333333492279,10.516547871825464
12,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672724867,11016.0,win,111,290.9999694824219,1255.333302974701,0.0
13,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672740086,10816.0,loss,1,-12.333333015441895,1242.999969959259,0.9824747727329632
14,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672742712,10848.0,loss,31,-2.3333334922790527,1240.66663646698,1.1683483958376695
15,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672747269,10840.0,loss,1,-12.333333015441895,1228.333303451538,2.150823168570633
16,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672754558,10864.0,win,60,64.33332824707031,1292.6666316986084,0.0
17,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672810328,10896.0,loss,1,-12.333333015441895,1280.3332986831665,0.9541000527905228
18,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672810508,10920.0,loss,1,-12.333333015441895,1267.9999656677246,1.9082001055810456
19,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672811044,10904.0,loss,6,-12.333333015441895,1255.6666326522827,2.862300158371568
20,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672811414,10920.0,loss,2,-12.333333015441895,1243.3332996368408,3.816400211162091
21,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672811507,10896.0,loss,1,-12.333333015441895,1230.999966621399,4.770500263952614
22,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672811754,10888.0,loss,1,-12.333333015441895,1218.666633605957,5.724600316743136
23,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672812130,10912.0,loss,4,-12.333333015441895,1206.3333005905151,6.678700369533659
24,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672812190,10888.0,win,47,51.0,1257.3333005905151,2.7333676171144026
25,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672814675,10864.0,loss,4,-12.333333015441895,1244.9999675750732,3.687467669904925
26,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672826537,10896.0,loss,10,-12.333333015441895,1232.6666345596313,4.641567722695448
27,EMA 84_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672826703,10920.0,loss,2,-12.333333015441895,1220.3333015441895,5.59566777548597
28,EMA 84_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672826885,10896.0,loss,1,-12.333333015441895,1207.9999685287476,6.549767828276494
