trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672668003,11040.0,win,53,11.230769157409668,1011.2307691574097,0.0
2,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672702716,11032.0,loss,1,-11.555557250976562,999.6752119064331,1.1427220772371305
3,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672713831,11008.0,loss,10,-11.75,987.9252119064331,2.3046724804858845
4,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672718480,11032.0,loss,1,-11.555557250976562,976.3696546554565,3.447394557723015
5,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672718807,11008.0,loss,7,-11.40000057220459,964.969654083252,4.574733728949325
6,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672720806,11032.0,loss,7,-11.076924324035645,953.8927297592163,5.6701240851254235
7,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672723860,11008.0,loss,4,-11.75,942.1427297592163,6.832074488374178
8,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672723946,11032.0,loss,7,-7.565217018127441,934.5775127410889,7.5801942300658816
9,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672724259,11040.0,loss,15,-11.166666984558105,923.4108457565308,8.684459183738378
10,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672724867,11016.0,win,143,140.6666717529297,1064.0775175094604,0.0
11,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672744814,10864.0,loss,2,-11.75,1052.3275175094604,1.104242858875696
12,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672762215,10896.0,loss,1,-11.166666984558105,1041.1608505249023,2.153665180164316
13,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672768521,10872.0,loss,1,-8.699999809265137,1032.4608507156372,2.9712747683856735
14,EMA200_two_confirm_candle_MAexit200,long,1970-01-01T00:00:01.672772629,10896.0,loss,3,-11.076924324035645,1021.3839263916016,4.012263243545065
15,EMA200_two_confirm_candle_MAexit200,short,1970-01-01T00:00:01.672810340,10888.0,loss,3,-8.699999809265137,1012.6839265823364,4.829872831766422
