trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672684473,10952.0,loss,1,-10.933334350585938,989.0666656494141,1.093333435058594
2,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672713774,11024.0,loss,16,-11.75,977.3166656494141,2.2683334350585938
3,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672718480,11032.0,loss,1,-11.555557250976562,965.7611083984375,3.42388916015625
4,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672718545,11016.0,loss,7,-0.7777778506278992,964.9833305478096,3.5016669452190397
5,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672719604,11016.0,loss,2,-9.40000057220459,955.583329975605,4.441667002439499
6,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672719742,11008.0,loss,1,-7.25,948.333329975605,5.166667002439499
7,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672720063,11024.0,loss,9,-7.909091472625732,940.4242385029793,5.9575761497020725
8,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672723860,11008.0,loss,4,-11.75,928.6742385029793,7.132576149702071
9,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672723903,11016.0,loss,9,-1.1666667461395264,927.5075717568398,7.249242824316025
10,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672724151,11016.0,loss,1,-11.076924324035645,916.4306474328041,8.356935256719588
11,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672724174,11032.0,win,14,3.299999952316284,919.7306473851204,8.02693526148796
12,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672724692,11040.0,win,53,72.09090423583984,991.8215516209602,0.8178448379039764
13,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672729007,10880.0,loss,7,-11.555557250976562,980.2659943699837,1.9734005630016327
14,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672729511,10864.0,win,35,31.066669464111328,1011.332663834095,0.0
15,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672734817,10816.0,loss,2,-11.75,999.582663834095,1.161833333401317
16,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672735191,10800.0,loss,9,-1.4000000953674316,998.1826637387276,1.3002645485130535
17,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672737930,10800.0,loss,15,-1.75,996.4326637387276,1.4733035556153773
18,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672741898,10800.0,loss,2,-11.555557250976562,984.877106487751,2.6159105003142584
19,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672741996,10808.0,win,33,25.888891220092773,1010.7659977078438,0.05603162505430359
20,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672746494,10856.0,loss,1,-8.699999809265137,1002.0659978985786,0.9162826700746726
21,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672746636,10872.0,loss,1,-9.1578950881958,992.9081028103828,1.8218101404796148
22,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672746862,10856.0,loss,4,-4.700000286102295,988.2081025242805,2.286543502129774
23,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672754558,10864.0,win,30,32.166664123535156,1020.3747666478157,0.0
24,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672796397,10904.0,loss,2,-11.75,1008.6247666478157,1.1515376883144284
25,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672797248,10920.0,loss,5,-1.1666667461395264,1007.4580999016762,1.2658747715384988
26,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672801139,10920.0,loss,6,-8.545454978942871,998.9126449227333,2.103356769159511
27,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672805043,10928.0,loss,7,-1.2727272510528564,997.6399176716805,2.2280881220558673
28,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672808139,10928.0,loss,1,-10.235295295715332,987.4046223759651,3.2311798909106395
29,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672808541,10944.0,loss,4,-10.636363983154297,976.7682583928108,4.273577677568712
30,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672810245,10920.0,loss,1,-11.555557250976562,965.2127011418343,5.4060593528005905
31,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672810262,10936.0,loss,1,-10.875,954.3377011418343,6.471844234538413
32,SMA 34_one_break_candle_MAexit34,short,1970-01-01T00:00:01.672810270,10920.0,loss,10,-4.700000286102295,949.637700855732,6.9324593379031265
33,SMA 34_one_break_candle_MAexit34,long,1970-01-01T00:00:01.672810514,10928.0,loss,4,-5.875,943.762700855732,7.508228182060341
