trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672724916,10992.0,win,125,138.25,1138.25,0.0
2,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672742838,10856.0,loss,1,-11.75,1126.5,1.0322864045684164
3,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672743388,10848.0,loss,1,-11.75,1114.75,2.0645728091368327
4,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672743756,10848.0,loss,1,-11.75,1103.0,3.0968592137052493
5,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672744294,10872.0,loss,4,-11.75,1091.25,4.129145618273665
6,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672754558,10864.0,win,84,28.25,1119.5,1.6472655392049198
7,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672811081,10880.0,loss,1,-11.75,1107.75,2.6795519437733364
8,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672811203,10904.0,loss,1,-11.75,1096.0,3.7118383483417525
9,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672811768,10880.0,loss,1,-11.75,1084.25,4.744124752910169
10,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672812130,10912.0,loss,4,-11.75,1072.5,5.776411157478586
11,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672812190,10888.0,loss,53,-1.75,1070.75,5.930155941137712
12,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672816239,10896.0,loss,1,-11.75,1059.0,6.962442345706128
13,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672826559,10872.0,loss,2,-11.75,1047.25,7.994728750274545
14,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672826651,10896.0,loss,10,-11.75,1035.5,9.02701515484296
15,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672826981,10872.0,loss,1,-11.75,1023.75,10.059301559411377
16,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672827086,10896.0,loss,1,-11.75,1012.0,11.091587963979793
17,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672827213,10904.0,loss,10,-11.75,1000.25,12.12387436854821
18,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672827920,10872.0,loss,16,-11.75,988.5,13.156160773116627
19,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672829765,10904.0,loss,1,-11.75,976.75,14.188447177685044
20,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672831268,10888.0,loss,2,-11.75,965.0,15.220733582253459
21,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672833526,10912.0,loss,1,-11.75,953.25,16.253019986821876
22,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672848003,10888.0,loss,8,-11.75,941.5,17.285306391390293
23,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672860847,10904.0,loss,1,-11.75,929.75,18.31759279595871
24,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672869173,10880.0,loss,4,-11.75,918.0,19.349879200527127
25,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672877910,10896.0,loss,1,-11.75,906.25,20.382165605095544
26,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672880347,10904.0,loss,19,-11.75,894.5,21.414452009663957
27,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672892107,10880.0,loss,2,-11.75,882.75,22.446738414232374
28,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672892111,10896.0,loss,1,-11.75,871.0,23.479024818800788
29,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672892138,10872.0,loss,1,-11.75,859.25,24.511311223369205
30,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672893003,10864.0,win,139,78.25,937.5,17.636723039754006
31,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672910527,10808.0,loss,2,-11.75,925.75,18.669009444322423
32,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672912869,10792.0,loss,1,-11.75,914.0,19.70129584889084
33,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672914990,10808.0,loss,6,-11.75,902.25,20.733582253459257
34,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672916987,10776.0,loss,1,-11.75,890.5,21.765868658027674
35,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672936968,10800.0,loss,2,-11.75,878.75,22.79815506259609
36,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672950317,10776.0,loss,1,-11.75,867.0,23.830441467164505
37,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672979411,10784.0,loss,26,-11.75,855.25,24.862727871732922
38,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672979438,10768.0,loss,4,-11.75,843.5,25.895014276301342
39,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672979444,10792.0,loss,12,-11.75,831.75,26.927300680869752
40,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672979511,10768.0,loss,4,-11.75,820.0,27.95958708543817
41,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672979566,10792.0,loss,2,-11.75,808.25,28.991873490006586
42,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672979592,10768.0,loss,6,-11.75,796.5,30.024159894575003
43,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672979772,10760.0,loss,4,-11.75,784.75,31.05644629914342
44,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672979884,10784.0,loss,1,-11.75,773.0,32.088732703711834
45,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672979945,10760.0,loss,1,-11.75,761.25,33.12101910828025
46,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672980060,10784.0,loss,1,-11.75,749.5,34.15330551284867
47,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672980155,10792.0,loss,1,-11.75,737.75,35.185591917417085
48,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672983047,10784.0,loss,1,-11.75,726.0,36.2178783219855
49,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672983099,10808.0,loss,14,-11.75,714.25,37.25016472655392
50,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672983437,10792.0,loss,36,-11.75,702.5,38.282451131122336
51,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672984808,10776.0,loss,1,-11.75,690.75,39.31473753569075
52,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672984936,10808.0,loss,2,-11.75,679.0,40.34702394025917
53,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.672985010,10784.0,loss,2,-11.75,667.25,41.37931034482759
54,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.672985261,10808.0,win,253,458.25,1125.5,1.1201405666593456
55,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673261778,11168.0,win,108,48.25,1173.75,0.0
56,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673328828,11136.0,loss,10,-11.75,1162.0,1.0010649627263046
57,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673329384,11128.0,loss,1,-11.75,1150.25,2.0021299254526093
58,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673329565,11096.0,loss,6,-11.75,1138.5,3.0031948881789137
59,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673329756,11112.0,loss,1,-11.75,1126.75,4.0042598509052185
60,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673329865,11088.0,loss,2,-11.75,1115.0,5.005324813631523
61,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673329980,11104.0,loss,37,-1.75,1113.25,5.154419595314164
62,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673332269,11096.0,loss,1,-11.75,1101.5,6.1554845580404685
63,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673333496,11112.0,loss,2,-11.75,1089.75,7.156549520766774
64,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673336009,11104.0,loss,1,-11.75,1078.0,8.157614483493077
65,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673337378,11128.0,loss,1,-11.75,1066.25,9.158679446219383
66,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673337606,11104.0,loss,4,-11.75,1054.5,10.159744408945686
67,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673338269,11128.0,loss,2,-11.75,1042.75,11.160809371671991
68,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673339529,11136.0,win,193,218.25,1261.0,0.0
69,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673497819,11304.0,loss,20,-11.75,1249.25,0.9318001586042823
70,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673497872,11336.0,loss,8,-11.75,1237.5,1.8636003172085647
71,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673497909,11320.0,loss,4,-11.75,1225.75,2.7954004758128472
72,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673498031,11344.0,loss,31,-1.75,1224.0,2.9341792228390164
73,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673498392,11368.0,loss,1,-11.75,1212.25,3.865979381443299
74,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673498437,11336.0,loss,1,-11.75,1200.5,4.797779540047582
75,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673498487,11360.0,loss,6,-11.75,1188.75,5.729579698651864
76,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673498669,11336.0,loss,1,-11.75,1177.0,6.661379857256146
77,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673498702,11360.0,win,54,8.25,1185.25,6.007137192704203
78,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673500668,11360.0,loss,1,-11.75,1173.5,6.9389373513084855
79,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673500706,11384.0,loss,2,-11.75,1161.75,7.870737509912767
80,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673500828,11368.0,loss,1,-11.75,1150.0,8.80253766851705
81,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673500874,11392.0,loss,1,-11.75,1138.25,9.734337827121333
82,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673501558,11384.0,loss,2,-11.75,1126.5,10.666137985725614
83,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673503897,11384.0,loss,20,-11.75,1114.75,11.597938144329897
84,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673505130,11392.0,loss,2,-11.75,1103.0,12.52973830293418
85,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673505870,11352.0,loss,4,-11.75,1091.25,13.461538461538462
86,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673506094,11368.0,loss,10,-11.75,1079.5,14.393338620142742
87,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673506804,11344.0,loss,8,-11.75,1067.75,15.325138778747027
88,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673507628,11368.0,loss,4,-11.75,1056.0,16.256938937351308
89,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673543710,11400.0,loss,1,-11.75,1044.25,17.18873909595559
90,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673545067,11424.0,loss,1,-11.75,1032.5,18.120539254559873
91,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673557660,11432.0,loss,6,-11.75,1020.75,19.052339413164155
92,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673576977,11408.0,loss,2,-11.75,1009.0,19.984139571768438
93,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673589613,11424.0,loss,1,-11.75,997.25,20.91593973037272
94,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673589630,11400.0,loss,1,-11.75,985.5,21.847739888977003
95,SMA144_two_confirm_fixed_8_MAexit144,short,1970-01-01T00:00:01.673589709,11392.0,loss,1,-11.75,973.75,22.779540047581285
96,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673589914,11424.0,loss,2,-11.75,962.0,23.711340206185564
97,SMA144_two_confirm_fixed_8_MAexit144,long,1970-01-01T00:00:01.673590238,11432.0,loss,1,-11.75,950.25,24.64314036478985
