====================================================================================================
 1. TOP 50 TRAIN (with OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
  1  EMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 16,178  29.48%  +5.78  1.364  1.346 +3.124  +43,519.4 105.16% 15.459
                                                                | O  6,395  27.74%  +4.16  1.249  1.244 +2.194  +12,431.3  83.28%  7.127  [OKAY]
  2  EMA200 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 15,905  29.43%  +5.75  1.363  1.344 +3.109  +42,621.4 111.29% 15.267
                                                                | O  6,250  27.60%  +3.97  1.240  1.232 +2.118  +11,572.4 102.73%  6.731  [OKAY]
  3  EMA 89 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 16,639  29.32%  +5.66  1.357  1.339 +3.066  +43,929.2 124.23% 15.386
                                                                | O  6,636  27.67%  +4.04  1.245  1.236 +2.159  +12,498.3  78.53%  7.053  [OKAY]
  4  EMA 55 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 17,350  29.16%  +5.54  1.344  1.331 +2.965  +44,914.7 122.63% 15.410
                                                                | O  7,013  27.81%  +4.13  1.251  1.242 +2.212  +13,505.4  69.94%  7.412  [OKAY]
  5  EMA200 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | T 17,656  29.09%  +5.38  1.337  1.320 +2.908  +44,138.2 137.51% 15.086
                                                                | O  6,981  27.49%  +3.86  1.233  1.225 +2.063  +12,589.3  96.25%  6.942  [OKAY]
  6  EMA144 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | T 18,228  29.07%  +5.36  1.336  1.319 +2.900  +45,496.1 103.13% 15.300
                                                                | O  7,267  27.59%  +3.89  1.239  1.227 +2.112  +13,156.4  82.67%  7.124  [OKAY]
  7  EMA200 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | T 18,513  29.04%  +5.30  1.332  1.315 +2.876  +45,615.8 131.65% 15.249
                                                                | O  7,354  27.45%  +3.79  1.231  1.221 +2.046  +12,981.3  94.00%  6.990  [OKAY]
  8  EMA144 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 30,383  28.81%  +5.22  1.323  1.311 +2.793  +74,198.9 112.85% 19.284
                                                                | O 12,477  26.62%  +2.84  1.177  1.163 +1.592  +16,448.2  60.15%  6.895  [OKAY]
  9  EMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 18,263  28.87%  +5.22  1.324  1.311 +2.802  +44,498.9 117.88% 14.944
                                                                | O  7,459  27.93%  +4.25  1.259  1.249 +2.281  +14,745.1  73.43%  7.838  [OKAY]
 10  EMA 89 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 31,609  28.78%  +5.19  1.324  1.309 +2.794  +76,783.4 115.28% 19.563
                                                                | O 13,014  26.54%  +2.73  1.172  1.156 +1.543  +16,436.8  60.40%  6.762  [OKAY]
 11  EMA200 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 29,658  28.74%  +5.17  1.318  1.308 +2.753  +71,748.8 153.54% 18.878
                                                                | O 12,180  26.60%  +2.81  1.176  1.161 +1.583  +15,841.0  61.13%  6.725  [OKAY]
 12  EMA144 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | T 19,212  28.88%  +5.16  1.322  1.306 +2.793  +46,147.2 129.63% 15.155
                                                                | O  7,682  27.32%  +3.63  1.223  1.211 +1.975  +12,974.1  93.82%  6.854  [OKAY]
 13  EMA200 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | T 19,336  28.90%  +5.16  1.323  1.306 +2.799  +46,379.1 122.58% 15.194
